품목일련번호,품목명,업소명,분류번호,분류명
200900845,모빅캡슐15밀리그램(멜록시캄),한국베링거인겔하임(주),1140,해열.진통.소염제
200901014,코큐렉스연질캡슐,(주)알피바이오,3190,기타의비타민제
200901073,발크로버정500밀리그램(발라시클로비르염산염수화물),환인제약(주),6290,기타의화학요법제
200901148,엔에이피정(나프록센나트륨),한솔신약(주),1140,해열.진통.소염제
200901177,메디헤모연질캡슐,동화약품(주),3220,무기질제제
200901187,이지에스정(방기황기탕건조엑스),주식회사제이비케이파마슈티컬,1140,해열.진통.소염제
200901205,제일아노민정,제일약품(주),3290,기타의자양강장변질제
200902918,오렉스캡슐,크리스탈생명과학(주),1190,기타의중추신경용약
200902983,선콜정,한솔신약(주),1140,해열.진통.소염제
200903022,베리콜노즈정,삼천당제약(주),1140,해열.진통.소염제
200903023,마그놀정,(주)제뉴파마,2380,하제|완장제
200903040,덴티콤캡슐,천우신약(주),2310,치과구강용약
200903043,리버파워포르테연질캡슐,아이큐어(주),3910,간장질환용제
200903044,본렉스이알캡슐15밀리그램(시클로벤자프린염산염),(주)새한제약,1220,골격근이완제
200903045,본렉스이알캡슐30밀리그램(시클로벤자프린염산염),(주)새한제약,1220,골격근이완제
200903055,오메코프정,(주)에이프로젠바이오로직스,1140,해열.진통.소염제
200903065,산도스올란자핀정10밀리그램,삼일제약(주),1170,정신신경용제
200903066,올란프레서정10mg(올란자핀),한국노바티스(주),1170,정신신경용제
200903067,산도스올란자핀정5밀리그램,삼일제약(주),1170,정신신경용제
200903068,올란프레서정5mg(올란자핀),한국노바티스(주),1170,정신신경용제
200903078,산도스올란자핀정2.5밀리그램,삼일제약(주),1170,정신신경용제
200903080,올란프레서정2.5mg(올란자핀),한국노바티스(주),1170,정신신경용제
200903183,센트룸실버정,한국화이자제약(주),3160,혼합비타민제(비타민AD혼합제제를제외)
200903210,헤파피스연질캡슐,(주)에이프로젠바이오로직스,3910,간장질환용제
200903217,메펜연질캡슐(메페남산),한솔신약(주),1140,해열.진통.소염제
200903247,센타민플러스연질캡슐,(주)알피바이오,3190,기타의비타민제
200903378,헤모퀸골드캡슐,경남제약(주),3220,무기질제제
200903392,제로민연질캡슐(디펜히드라민염산염),한솔신약(주),1120,최면진정제
200903395,비나코연질캡슐,한솔신약(주),1140,해열.진통.소염제
200903409,리피다운캡슐120밀리그램(오르리스타트),한미약품(주),3990,따로분류되지않는대사성의약품
200903482,비오펜연질캡슐(덱시부프로펜),(주)동구바이오제약,1140,해열.진통.소염제
200903579,카이로정,한솔신약(주),1240,진경제
200903580,덴탈에프정(옥수수불검화정량추출물),한솔신약(주),2310,치과구강용약
200903585,마이에신캡슐(은교산),한솔신약(주),1140,해열.진통.소염제
200901403,미카몰정,한솔신약(주),1220,골격근이완제
200901575,행심연질캡슐(은행엽건조엑스),동화약품(주),2190,기타의순환계용약
200901619,알룬정,(주)휴온스,3990,따로분류되지않는대사성의약품
200901620,미니메이드정(수출용),(주)넥스팜코리아,3990,따로분류되지않는대사성의약품
200901818,리버플란연질캡슐,(주)서흥,3910,간장질환용제
200902147,에코닉신정(클로닉신리시네이트),화일약품(주),1140,해열.진통.소염제
200902192,토넥스포르테캡슐,대우제약(주),1190,기타의중추신경용약
200902207,헤파라이프연질캡슐350mg(밀크시슬열매건조엑스),(주)테라젠이텍스,3910,간장질환용제
200902212,비타마인연질캡슐,(주)알피바이오,3190,기타의비타민제
200902301,그날엔정,경동제약(주),1140,해열.진통.소염제
200902328,자베스카캡슐100밀리그램(미글루스타트),(주)한국얀센,3990,따로분류되지않는대사성의약품
200902364,이프렌에스연질캡슐(덱시부프로펜),삼진제약(주),1140,해열.진통.소염제
200902452,맥스비타플러스정,(유)한풍제약,3160,혼합비타민제(비타민AD혼합제제를제외)
200902506,에델피스연질캡슐(디펜히드라민염산염),삼진제약(주),1120,최면진정제
200902577,제이에스콜드정,제이에스제약(주),1140,해열.진통.소염제
200902743,오메콜캡슐,청계제약(주),1140,해열.진통.소염제
200902749,리드비타큐정,(유)한풍제약,3160,혼합비타민제(비타민AD혼합제제를제외)
200902791,비타엔큐연질캡슐,동화약품(주),3190,기타의비타민제
200902801,카페그린정,청계제약(주),1140,해열.진통.소염제
200902805,트리답티브정,한국엠에스디(주),2180,동맥경화용제
200902876,코프노캡슐,크리스탈생명과학(주),2220,진해거담제
200902884,이젠이캡슐,경진제약(주),2310,치과구강용약
200701086,스프라이셀정50밀리그램(다사티닙),(유)한국비엠에스제약,4210,항악성종양제
200403661,에너지톤연질캡슐,(주)알피바이오,3190,기타의비타민제
200704968,토핀정25밀리그램(토피라메이트),대한뉴팜(주),1130,항전간제
200202184,디스톤골드연질캡슐,한미약품(주),3160,혼합비타민제(비타민AD혼합제제를제외)
200202185,콘로친300연질캡슐,한미약품(주),3160,혼합비타민제(비타민AD혼합제제를제외)
200709387,케티맥스정100밀리그램(푸마르산쿠에티아핀),한국산도스(주),1170,정신신경용제
200302360,헤모윈연질캡슐,(주)알피바이오,3220,무기질제제
200102789,잔타놀정,조아제약(주),2340,제산제
200402892,푸로콜에스캡슐,알파제약(주),1140,해열.진통.소염제
200101589,에코리자정,삼진제약(주),1140,해열.진통.소염제
200101951,한신타미놀캅셀(아세트아미노펜),(주)한국신약,1140,해열.진통.소염제
200201781,아스노캅셀,고려제약(주),2220,진해거담제
200705825,아토스타정10밀리그램(아토르바스타틴칼슘삼수화물),동화약품(주),2180,동맥경화용제
200500735,비텐지연질캡슐,동화약품(주),3160,혼합비타민제(비타민AD혼합제제를제외)
200600140,라시핀정(라시디핀),오스틴제약(주),2140,혈압강하제
200607723,포스펜정,정우신약(주),1140,해열.진통.소염제
200612598,보령세파클러캡슐(세파클러수화물),(주)보령,6180,주로그람양성|음성균에작용하는것
200806047,리피다운캡슐60밀리그램(오르리스타트),한미약품(주),3990,따로분류되지않는대사성의약품
200808168,아지탑스정250밀리그램(아지트로마이신수화물),일동제약(주),6140,주로그람양성균|리케치아|비루스에작용하는것
200808280,수마트란정50밀리그램(수마트립탄숙신산염),명인제약(주),1140,해열.진통.소염제
200808340,바로디핀정5밀리그램(암로디핀베실산염),신풍제약(주),2140,혈압강하제
200808561,아네페질속붕정(도네페질염산염일수화물),대원제약(주),1190,기타의중추신경용약
200808653,사르반정80밀리그램(발사르탄),대우제약(주),2140,혈압강하제
200808753,레보텍캡슐(레보드로프로피진),(주)일화,2220,진해거담제
200903697,로비텐연질캡슐,아이큐어(주),3140,비타민C및P제
200903698,맥스콜연질캡슐,한솔신약(주),1140,해열.진통.소염제
200903727,속콜파워연질캡슐(수출용),일양약품(주),1140,해열.진통.소염제
200903737,쿨드림연질캡슐(디펜히드라민염산염),(주)녹십자,1120,최면진정제
200903776,긴코센정120밀리그램(은행엽건조엑스),태극제약(주),2190,기타의순환계용약
200903782,칼루타미정150밀리그램(비칼루타미드),(주)종근당,4210,항악성종양제
200903829,씨탈정(에스시탈로프람옥살산염),에이치엘비제약(주),1170,정신신경용제
200903830,미가드정2.5밀리그램(프로바트립탄숙신산염일수화물),에스케이케미칼(주),1140,해열.진통.소염제
200903837,마이녹실에스캡슐,현대약품(주),3250,단백아미노산제제
200903842,비알칸다플러스정,(주)보령,2140,혈압강하제
200903850,변락소정,한솔신약(주),2380,하제|완장제
200903851,콜리브정,한국프라임제약(주),1140,해열.진통.소염제
200903876,지르세틴정10밀리그램(세티리진염산염),태극제약(주),1410,항히스타민제
200903912,디펜에이정,(주)제이앤피코리아,1140,해열.진통.소염제
200903964,로큅정0.25밀리그램(로피니롤염산염),(주)대웅제약,1190,기타의중추신경용약
200903969,칼인비연질캡슐,한미약품(주),3210,칼슘제
200903974,칸데모어정16밀리그램(칸데사르탄실렉세틸),(주)종근당,2140,혈압강하제
200903986,코큐모아연질캡슐,(주)알피바이오,3190,기타의비타민제
200903987,칼본큐포르테플러스연질캡슐,(주)알피바이오,3210,칼슘제
200903993,로큅정1밀리그램(로피니롤염산염),(주)대웅제약,1190,기타의중추신경용약
200904003,덴타칸캡슐,(주)넥스팜코리아,2310,치과구강용약
200904019,바로자미연질캡슐(디펜히드라민염산염),영진약품(주),1120,최면진정제
200904073,알벤프리졸정(알벤다졸),(유)한풍제약,6420,구충제
200904082,로노펜300연질캡슐(덱시부프로펜),태극제약(주),1140,해열.진통.소염제
200904122,이모돌정(옥수수불검화정량추출물),하나제약(주),2310,치과구강용약
200904162,칸데플러스정,(주)휴온스,2140,혈압강하제
200905961,프릴리지정60밀리그램(다폭세틴염산염),한국메나리니(주),2590,기타의비뇨생식기관및항문용약
200906066,프로코라란정5밀리그램(이바브라딘염산염),한국세르비에(주),2190,기타의순환계용약
200906065,프로코라란정7.5밀리그램(이바브라딘염산염),한국세르비에(주),2190,기타의순환계용약
200906578,뉴피오정(피오글리타존염산염),하나제약(주),3960,당뇨병용제
200905935,칸다이플러스정,오스틴제약(주),2140,혈압강하제
200906062,페이론캡슐(아미노벤조산칼륨),(주)한국팜비오,3990,따로분류되지않는대사성의약품
200905938,레복사신정250밀리그램(레보플록사신수화물),한미약품(주),6290,기타의화학요법제
200906061,피륵산정200밀리그램(부플로메딜인산피리독살),환인제약(주),2170,혈관확장제
200905692,클라리틴정(로라타딘),바이엘코리아(주),1410,항히스타민제
200905939,세자르플러스프로정(로사르탄칼륨|히드로클로로티아지드),삼익제약(주),2140,혈압강하제
200905876,칸데사플러스정,한국프라임제약(주),2140,혈압강하제
200905929,애드릴정5밀리그램(이미다프릴염산염),삼익제약(주),2140,혈압강하제
200905644,베리콜콜드캡슐,삼천당제약(주),1140,해열.진통.소염제
200906079,에피스캡슐,조아제약(주),1190,기타의중추신경용약
200906023,키드업정,조아제약(주),1190,기타의중추신경용약
200905591,판토마그정,경남제약(주),3220,무기질제제
200906073,트랜미정,(주)아이월드제약,2690,기타의외피용약
200905776,써큐징코연질캡슐(수출용),미래바이오제약(주),2190,기타의순환계용약
200905600,로페란캡슐,한국휴텍스제약(주),2370,정장제
200905651,이모나에프캡슐(수출용),미래바이오제약(주),2310,치과구강용약
200905675,큐크린정,(주)에이프로젠바이오로직스,2380,하제|완장제
200905551,콘탑정,에이치엘비제약(주),3160,혼합비타민제(비타민AD혼합제제를제외)
200905597,덱시쿨펜연질캡슐(덱시부프로펜),경남제약(주),1140,해열.진통.소염제
200905601,메디큐텐정,한국프라임제약(주),3190,기타의비타민제
200905926,러지펜정,디아이디바이오(주),1410,항히스타민제
200905479,비타모니에이스연질캡슐,(주)알피바이오,3190,기타의비타민제
200905514,비타올큐연질캡슐,(주)알피바이오,3190,기타의비타민제
200905586,쎌크비타연질캡슐(수출용),크리스탈생명과학(주),2190,기타의순환계용약
200905472,덱시카이플러스연질캡슐(덱시부프로펜),(주)씨엠지제약,1140,해열.진통.소염제
200905927,메타러정,오스틴제약(주),1220,골격근이완제
200905562,토코네슘연질캡슐,동방에프티엘(주),3150,비타민E및K제
200905653,알지엔스피드연질캡슐10밀리그램(세티리진염산염),(주)대웅제약,1410,항히스타민제
200906592,아스몬츄정5밀리그램(몬테루카스트나트륨),신일제약(주),1490,기타의알레르기용약
200906608,산도스프라미펙솔정0.25밀리그램(프라미펙솔염산염),한국산도스(주),1190,기타의중추신경용약
200906613,에스케이코스카플러스프로정,에스케이케미칼(주),2140,혈압강하제
200906602,원살탄플러스프로정,대원제약(주),2140,혈압강하제
200906611,산도스프라미펙솔정1밀리그램(프라미펙솔염산염),한국산도스(주),1190,기타의중추신경용약
200906599,라파뮨정2밀리그램(시롤리무스),한국화이자제약(주),1420,자격요법제(비특이성면역억제제를포함)
200906610,산도스프라미펙솔정0.5밀리그램(프라미펙솔염산염),한국산도스(주),1190,기타의중추신경용약
200906585,레보세린정(레보세티리진염산염),영진약품(주),1410,항히스타민제
200906588,아스몬츄정4밀리그램(몬테루카스트나트륨),신일제약(주),1490,기타의알레르기용약
200906557,리비알정(티볼론),한국오가논(주),2470,난포호르몬제및황체호르몬제
200906593,제니낙스정200밀리그램(가레녹사신메실산염수화물),동아에스티(주),6290,기타의화학요법제
200906609,산도스프라미펙솔정0.125밀리그램(프라미펙솔염산염),한국산도스(주),1190,기타의중추신경용약
200906584,일양로자탄플러스프로정,일양약품(주),2140,혈압강하제
200906540,로나센정2밀리그램(블로난세린)/로나센정4밀리그램(블로난세린),부광약품(주),1170,정신신경용제
200906528,로핀플러스프로정,태극제약(주),2140,혈압강하제
200906531,로펜정(방풍통성산건조엑스(4.6→1)),경남제약(주),2190,기타의순환계용약
200906473,훼리너프에프캡슐,(주)녹십자,3220,무기질제제
200906384,케라민캡슐,동성제약(주),3250,단백아미노산제제
200906497,씨렉신캡슐(은교산건조엑스8.16→1),에이치엘비제약(주),1140,해열.진통.소염제
200906462,솔라제정(프로나제B),조아제약(주),3950,효소제제
200906274,에피니틴캡슐,알리코제약(주),1190,기타의중추신경용약
200906105,모아리버골드연질캡슐,한미약품(주),3910,간장질환용제
200906301,덴탑플러스캡슐,(유)한풍제약,2310,치과구강용약
200906254,알러샷연질캡슐(세티리진염산염),(주)녹십자,1410,항히스타민제
200906719,쎄로켈서방정150밀리그램(쿠에티아핀푸마르산염),알보젠코리아(주),1170,정신신경용제
200906794,씨렉신정(은교산연조엑스4.08→1),에이치엘비제약(주),1140,해열.진통.소염제
200906642,더마화이트정,현대약품(주),2690,기타의외피용약
200907189,클라빅신정(클로피도그렐황산수소염),한국유나이티드제약(주),2180,동맥경화용제
200907170,제이더블유신약로잘탄플러스프로정,제이더블유신약(주),2140,혈압강하제
200906974,산도스에스시탈로프람정10밀리그램(에스시탈로프람옥살산염),삼일제약(주),1170,정신신경용제
200904481,베어비타정,(주)대웅제약,3190,기타의비타민제
200907385,에키나포스프로텍트정,한화제약(주),2290,기타의호흡기관용약
200907381,쎌크존연질캡슐,(주)알피바이오,3190,기타의비타민제
200904492,바이라민골드플러스정,(주)제뉴파마,3190,기타의비타민제
200907669,리노반10캡슐(시부트라민말레산염),일성신약(주),3990,따로분류되지않는대사성의약품
200907725,비스칸엔캡슐(바실루스리케니포르미스균),(주)바이넥스,2370,정장제
200907722,화이트프로젝트정,(주)에스트라,2690,기타의외피용약
200904403,젠스큐민연질캡슐,(주)알피바이오,3190,기타의비타민제
200907771,도파로핀정1밀리그램(로피니롤염산염),일동제약(주),1190,기타의중추신경용약
200904163,칸단테플러스정16/12.5mg,위더스제약(주),2140,혈압강하제
200904164,메토신필름코팅정,알리코제약(주),1220,골격근이완제
200904168,헵타바캡슐,(주)동구바이오제약,1190,기타의중추신경용약
200904234,아나탄플러스정,아주약품(주),2140,혈압강하제
200904235,칸세틸플러스정,신풍제약(주),2140,혈압강하제
200904236,칸자탄플러스정,(주)서울제약,2140,혈압강하제
200904630,원스에어정10밀리그램(몬테루카스트나트륨),국제약품(주),1490,기타의알레르기용약
200904514,발사벨정40밀리그램(발사르탄),(주)종근당,2140,혈압강하제
200904344,고려칸데사르탄플러스정(칸데사르탄실렉세틸|히드로클로로티아지드),고려제약(주),2140,혈압강하제
200904536,아피니토정5밀리그램(에베로리무스),한국노바티스(주),4210,항악성종양제
200904343,카바딜플러스정16/12.5mg,삼아제약(주),2140,혈압강하제
200904307,버퍼린플러스정,에이치케이이노엔(주),1140,해열.진통.소염제
200904308,맥스타제-에스정,영풍제약(주),2340,제산제
200904391,핑크프로캡슐,(주)한국파비스제약,3250,단백아미노산제제
200904390,콜디콜캡슐,크리스탈생명과학(주),1140,해열.진통.소염제
200904372,리세바플러스연질캡슐,일동제약(주),3910,간장질환용제
200904406,아이텐연질캡슐,(주)서흥,1310,안과용제
200904404,헤모웰연질캡슐,(주)알피바이오,3220,무기질제제
200904417,지메톨연질캡슐(옥수수불검화정량추출물),주식회사제뉴원사이언스,2310,치과구강용약
200904441,프로펜디연질캡슐(덱시부프로펜),(주)서흥,1140,해열.진통.소염제
200904460,실리세프연질캡슐350밀리그램(밀크시슬열매건조엑스),일동제약(주),3910,간장질환용제
200904477,베어타민정,(주)대웅제약,3160,혼합비타민제(비타민AD혼합제제를제외)
200904507,다이락스-큐정,조아제약(주),2380,하제|완장제
200904517,하이점프츄어블정,광동제약(주),1190,기타의중추신경용약
200904516,쥬르택정(세티리진염산염),조아제약(주),1410,항히스타민제
200904538,다비움정,제이더블유신약(주),2380,하제|완장제
200904547,헵타마인플러스연질캡슐,동방에프티엘(주),3910,간장질환용제
200904560,폴리아린캡슐,알리코제약(주),2370,정장제
200904583,마이덴트파워캡슐,(주)대웅,2310,치과구강용약
200904590,토마스연질캡슐,(주)동구바이오제약,3150,비타민E및K제
200904622,셀레토코플러스연질캡슐,동방에프티엘(주),2190,기타의순환계용약
200904652,덱스모아연질캡슐(덱시부프로펜),오스틴제약(주),1140,해열.진통.소염제
200904644,콘트라스300연질캡슐,(주)동구바이오제약,3160,혼합비타민제(비타민AD혼합제제를제외)
200904655,리버큐연질캡슐(밀크시슬열매건조엑스),(주)서흥,3910,간장질환용제
200904666,아르텍연질캡슐10mg(세티리진염산염),(주)알피바이오,1410,항히스타민제
200904349,타미린서방정8밀리그램(갈란타민브롬화수소산염),현대약품(주),1190,기타의중추신경용약
200904340,타미린서방정16밀리그램(갈란타민브롬화수소산염),현대약품(주),1190,기타의중추신경용약
200904275,타진서방정10/5mg,한국먼디파마유한회사,8210,합성마약
200904276,타진서방정20/10mg,한국먼디파마유한회사,8210,합성마약
200904420,박사르정4밀리그램(라시디핀),(주)글락소스미스클라인,2140,혈압강하제
200904419,박사르정2밀리그램(라시디핀),(주)글락소스미스클라인,2140,혈압강하제
200904346,로킨스정1밀리그램(로피니롤염산염),신풍제약(주),1190,기타의중추신경용약
200904629,도파프로정0.25밀리그램(로피니롤염산염),제일약품(주),1190,기타의중추신경용약
200904345,로킨스정0.25밀리그램(로피니롤염산염),신풍제약(주),1190,기타의중추신경용약
200904585,도파프로정1.0밀리그램(로피니롤염산염),제일약품(주),1190,기타의중추신경용약
200904640,뉴큅정1밀리그램(로피니롤염산염),(주)유한양행,1190,기타의중추신경용약
200904641,뉴큅정0.25밀리그램(로피니롤염산염),(주)유한양행,1190,기타의중추신경용약
200904422,아스몬정10밀리그램(몬테루카스트나트륨),동화약품(주),1490,기타의알레르기용약
200904535,아피니토정10밀리그램(에베로리무스),한국노바티스(주),4210,항악성종양제
200904445,페브릭정80밀리그램(페북소스타트),에스케이케미칼(주),3940,통풍치료제
200904359,칸탄플러스정,한국약품(주),2140,혈압강하제
200905216,파키놀정0.25밀리그램(로피니롤염산염),명인제약(주),1190,기타의중추신경용약
200904890,카데탄플라스정,(주)에이프로젠바이오로직스,2140,혈압강하제
200905339,렉사프로정20밀리그람(에스시탈로프람옥살산염),한국룬드벡(주),1170,정신신경용제
200905270,이리보정5마이크로그램(라모세트론염산염),한국아스텔라스제약(주),2390,기타의소화기관용약
200904978,브렌콜연질캡슐,한솔신약(주),1140,해열.진통.소염제
200905056,쿡콜연질캡슐,한국프라임제약(주),1140,해열.진통.소염제
200905107,모드콜플러스캡슐,(주)종근당,1140,해열.진통.소염제
200905166,슈티린정,에이치엘비제약(주),1410,항히스타민제
200905128,큐엔타민골드연질캡슐,(주)알피바이오,3220,무기질제제
200905377,데일리원정,한국프라임제약(주),3160,혼합비타민제(비타민AD혼합제제를제외)
200905349,진페리시정,한미약품(주),3980,종합대사성제제
200905283,쎄이네슘연질캡슐,한미약품(주),3150,비타민E및K제
200905124,니퀴틴민트트로키4밀리그램(니코틴폴라크리렉스),헤일리온코리아주식회사,7990,따로분류되지않고치료를주목적으로하지않는의약품
200905144,복합유디리버연질캡슐,(주)유한양행,3290,기타의자양강장변질제
200905195,헤모탑플러스연질캡슐,동국제약(주),3220,무기질제제
200905003,리드큐텐연질캡슐,한미약품(주),3190,기타의비타민제
200904934,코펜콜연질캡슐,한솔신약(주),1140,해열.진통.소염제
200904950,간보왕연질캡슐,광동제약(주),3910,간장질환용제
200904678,은엑손플러스연질캡슐(은행엽엑스),(주)종근당,2190,기타의순환계용약
200904681,메토씨정(메토카르바몰),조아제약(주),1220,골격근이완제
200904916,트러코연질캡슐,(주)제뉴파마,1140,해열.진통.소염제
200905016,이탄탄큐캡슐(수출용),(주)마더스제약,2310,치과구강용약
200905055,디퓨텐연질캡슐(덱시부프로펜),동성제약(주),1140,해열.진통.소염제
200904935,제이콜연질캡슐,한솔신약(주),1140,해열.진통.소염제
200905074,케라스트캡슐,맥널티제약(주),3250,단백아미노산제제
200905320,알피엠이튼프러스캡슐,(주)제이앤피코리아,2310,치과구강용약
200905123,니퀴틴민트트로키2밀리그램(니코틴폴라크리렉스),헤일리온코리아주식회사,7990,따로분류되지않고치료를주목적으로하지않는의약품
200905264,린피스정(아스피린),(주)씨티씨바이오,2190,기타의순환계용약
200905313,셀크빈연질캡슐,동방에프티엘(주),2190,기타의순환계용약
200905360,코디콜캡슐,한국프라임제약(주),1410,항히스타민제
200905023,로페도캡슐,(주)마더스제약,2370,정장제
200905109,매일비타정,한국프라임제약(주),3160,혼합비타민제(비타민AD혼합제제를제외)
200905221,아세리돈정(수출용),익수제약(주),1140,해열.진통.소염제
200905288,안티진에이스연질캡슐,(주)알피바이오,3190,기타의비타민제
200905423,마그롤연질캡슐,(주)서흥,3160,혼합비타민제(비타민AD혼합제제를제외)
200905017,이탄탄플러스캡슐,(주)마더스제약,2310,치과구강용약
200905407,말펜-에스정,영풍제약(주),1140,해열.진통.소염제
200904880,멜린씨정,(주)테라젠이텍스,3250,단백아미노산제제
200905151,액티리버모닝연질캡슐(밀크시슬열매건조엑스),(주)종근당,3910,간장질환용제
200905198,넥스핀정(아스피린),(주)넥스팜코리아,2190,기타의순환계용약
200905217,영빅스캡슐,영진약품(주),1190,기타의중추신경용약
200905220,자로펜정,알리코제약(주),1140,해열.진통.소염제
200905401,넥쿨연질캡슐,(주)제뉴파마,2290,기타의호흡기관용약
200904697,리버텍트골드연질캡슐,한국코러스(주),3910,간장질환용제
200905188,메가조인정,에이치엘비제약(주),3160,혼합비타민제(비타민AD혼합제제를제외)
200905215,비오코딜정,신일제약(주),2380,하제|완장제
200904979,비버스정,한솔신약(주),1410,항히스타민제
200905068,시노카에프연질캡슐,현대약품(주),1410,항히스타민제
200904774,세티린정(세티리진염산염),경남제약(주),1410,항히스타민제
200905962,프릴리지정30밀리그램(다폭세틴염산염),한국메나리니(주),2590,기타의비뇨생식기관및항문용약
201001640,영토넬정150mg(리세드론산나트륨2.5수화물),영진약품(주),3990,따로분류되지않는대사성의약품
201001637,리스넬정150밀리그램(리세드론산나트륨일수화물),(주)유한양행,3990,따로분류되지않는대사성의약품
201001656,발라실정500밀리그램(발라시클로비르염산염수화물),영진약품(주),6290,기타의화학요법제
201001684,라모스탈정50밀리그램(라모트리진),명인제약(주),1130,항전간제
201001699,큐로켈정25밀리그램(쿠에티아핀푸마르산염),명인제약(주),1170,정신신경용제
201001682,레보텐션정5밀리그램(에스암로디핀베실산염2.5수화물),안국약품(주),2140,혈압강하제
201001683,텔미스정40mg(텔미사르탄),삼일제약(주),2140,혈압강하제
201001685,텔미스정80mg(텔미사르탄),삼일제약(주),2140,혈압강하제
201001737,티자리드정1밀리그람(티자니딘염산염),광동제약(주),1220,골격근이완제
201001733,몬테레어츄정4밀리그램(몬테루카스트나트륨),명문제약(주),1490,기타의알레르기용약
201001723,큐로스트츄정4밀리그램(몬테루카스트나트륨),안국약품(주),1490,기타의알레르기용약
201001728,멀택정(드로네다론염산염),(주)사노피-아벤티스코리아,2120,부정맥용제
201001707,유니발탄정80밀리그램(발사르탄),환인제약(주),2140,혈압강하제
201001745,로디엔정5밀리그램(에스암로디핀니코틴산염),한림제약(주),2140,혈압강하제
201001744,딜라트렌에스알캡슐64밀리그램(카르베딜롤),(주)종근당,2140,혈압강하제
201001732,본넬정150밀리그램(리세드론산나트륨수화물),명문제약(주),3990,따로분류되지않는대사성의약품
201001730,리도넬정150밀리그램(리세드론산나트륨일수화물),한미약품(주),3990,따로분류되지않는대사성의약품
201001731,알토리톤정150밀리그램(리세드론산나트륨2.5수화물),(주)유영제약,3990,따로분류되지않는대사성의약품
